name,postscript_name,codepoints,opentype_category,export
uni0703.SYRJ,,,,true
uni0703.SYRN,,,,true
uni0704,,0704,,true
uni0704.SYRJ,,,,true
uni0704.SYRN,,,,true
uni0705,,0705,,true
uni0705.SYRJ,,,,true
uni0705.SYRN,,,,true
uni0706,,0706,,true
uni0706.SYRJ,,,,true
uni0706.SYRN,,,,true
uni0707,,0707,,true
uni0707.SYRJ,,,,true
uni0707.SYRN,,,,true
uni0708,,0708,,true
uni0708.SYRJ,,,,true
uni0708.SYRN,,,,true
uni0709,,0709,,true
uni0709.SYRJ,,,,true
uni0709.SYRN,,,,true
uni070A,,070A,,true
uni070A.SYRJ,,,,true
uni070A.SYRN,,,,true
uni070B,,070B,,true
uni070B.SYRJ,,,,true
uni070B.SYRN,,,,true
uni070C,,070C,,true
uni070C.SYRJ,,,,true
uni070C.SYRN,,,,true
uni070D,,070D,,true
uni070D.SYRJ,,,,true
uni070D.SYRN,,,,true
uni070F,,070F,,true
uni070F.SYRJ,,,,true
uni070F.SYRN,,,,true
uni070F.blank,,,,true
uni070F.blank.SYRJ,,,,true
uni070F.blank.SYRN,,,,true
uni0710,,0710,,true
uni0710.Fina1,,,,true
uni0710.Fina1.SYRJ,,,,true
uni0710.Fina1.SYRN,,,,true
uni0710.Fina1N.SYRN,,,,true
uni0710.Fina1wideX,,,,true
uni0710.Fina1wideY,,,,true
uni0710.Fina2,,,,true
uni0710.Fina2.SYRJ,,,,true
uni0710.Fina2.SYRN,,,,true
uni0710.Fina3,,,,true
uni0710.Fina3.SYRJ,,,,true
uni0710.Fina3.SYRN,,,,true
uni0710.FinaLiga.SYRJ,,,,true
uni0710.FinaLiga.SYRN,,,,true
uni0710.FinaLiga2.SYRN,,,,true
uni0710.FinaLigaLong.SYRJ,,,,true
uni0710.Medi2,,,,true
uni0710.Medi2.SYRJ,,,,true
uni0710.Medi2.SYRN,,,,true
uni0710.Medi2N.SYRN,,,,true
uni0710.Medi2slant.SYRJ,,,,true
uni0710.Medi2wideX,,,,true
uni0710.Medi2wideY,,,,true
uni0710.MediLiga.SYRJ,,,,true
uni0710.MediLiga.SYRN,,,,true
uni0710.MediLigaLong.SYRJ,,,,true
uni0710.SYRJ,,,,true
uni0710.SYRN,,,,true
uni0710.slant.SYRJ,,,,true
uni0711,,0711,,true
uni0711.SYRJ,,,,true
uni0711.SYRN,,,,true
uni0712,,0712,,true
uni0712.Fina,,,,true
uni0712.Fina.SYRJ,,,,true
uni0712.Fina.SYRN,,,,true
uni0712.FinaQR.SYRN,,,,true
uni0712.Init,,,,true
uni0712.Init.SYRJ,,,,true
uni0712.Init.SYRN,,,,true
uni0712.InitN.SYRN,,,,true
uni0712.Medi,,,,true
uni0712.Medi.SYRJ,,,,true
uni0712.Medi.SYRN,,,,true
uni0712.MediN.SYRN,,,,true
uni0712.MediQR.SYRN,,,,true
uni0712.SYRJ,,,,true
uni0712.SYRN,,,,true
uni0713,,0713,,true
uni0713.Fina,,,,true
uni0713.Fina.SYRJ,,,,true
uni0713.Fina.SYRN,,,,true
uni0713.FinaW.SYRN,,,,true
uni0713.FinaWide,,,,true
uni0713.FinaWide.SYRJ,,,,true
uni0713.FinaWide2,,,,true
uni0713.FinaWide2.SYRJ,,,,true
uni0713.Init,,,,true
uni0713.Init.SYRJ,,,,true
uni0713.Init.SYRN,,,,true
uni0713.InitLong,,,,true
uni0713.InitN.SYRN,,,,true
uni0713.Medi,,,,true
uni0713.Medi.SYRJ,,,,true
uni0713.Medi.SYRN,,,,true
uni0713.MediLong,,,,true
uni0713.MediN.SYRN,,,,true
uni0713.MediW.SYRN,,,,true
uni0713.MediWN.SYRN,,,,true
uni0713.MediWide,,,,true
uni0713.MediWide.SYRJ,,,,true
uni0713.MediWide2,,,,true
uni0713.MediWide2.SYRJ,,,,true
uni0713.SYRJ,,,,true
uni0713.SYRN,,,,true
uni0714,,0714,,true
uni0714.Fina,,,,true
